CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
437962_TITLE;Restoring Napoleon;;;;;;;;;;;;;;;;;;;;;;x;;;;
437962_DESC;Now Napoleon is restored, we must decide the new government he will head, shall he head a glorious new republic, or shall he restore a 2nd French Empire;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379621;He shall head a new republic!;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379622;He shall be restored as the our rightfull emporor!;;;;;;;;;;;;;;;;;;;;;;x;;;;
437963_TITLE;Napoleons returned!;;;;;;;;;;;;;;;;;;;;;;x;;;;
437963_DESC;We have recieved news of a second return of Napoleon in France!;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379631;Troubling news...;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489_TITLE;Treaty of Sugauli;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489_DESC;The Treaty of Sugauli was ratified on 4 March 1816. As per the treaty, Nepal lost all Sikkim (including Darjeeling), the territories of Kumaon and Garhwal and Western Terai. The Mechi River became the new eastern border and the Mahakali river the western boundary of the kingdom. The British East India Company would pay 200,000 rupees annually to compensate for the loss of income from the Terai region. The British set up Resident. The fear of having a British Resident in Kathmandu ultimately proved to be unfounded, as the rulers of Nepal managed to isolate the Resident to such an extent as to be in virtual house arrest.;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489OP1;Disastrous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
387490OP1;Great!;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491_TITLE;The loss of our western provinces;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491__DESC;The Portuguese have succesfully seized Uraguay, and we are forced to accept this;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491OP1;There is nothing we can do;;;;;;;;;;;;;;;;;;;;;;x;;;;
387492_TITLE;Liga cedes Uraguay;;;;;;;;;;;;;;;;;;;;;;x;;;;
387492_DESC;After our swift victory, the Liga Federal have withdrawed from Uraguay, leaving it to us;;;;;;;;;;;;;;;;;;;;;;x;;;;
