CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;;x;;;;;;;;;;;;;;;;
437962_TITLE;Restoring Napoleon;;;;;;;;;;;;;;;;;;;;;;x;;;;
437962_DESC;Now Napoleon is restored, we must decide the new government he will head, shall he head a glorious new republic, or shall he restore a 2nd French Empire;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379621;He shall head a new republic!;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379622;He shall be restored as the our rightfull emporor!;;;;;;;;;;;;;;;;;;;;;;x;;;;
437963_TITLE;Napoleons returned!;;;;;;;;;;;;;;;;;;;;;;x;;;;
437963_DESC;We have recieved news of a second return of Napoleon in France!;;;;;;;;;;;;;;;;;;;;;;x;;;;
4379631;Troubling news...;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489_TITLE;Treaty of Sugauli;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489_DESC;The Treaty of Sugauli was ratified on 4 March 1816. As per the treaty, Nepal lost all Sikkim (including Darjeeling), the territories of Kumaon and Garhwal and Western Terai. The Mechi River became the new eastern border and the Mahakali river the western boundary of the kingdom. The British East India Company would pay 200,000 rupees annually to compensate for the loss of income from the Terai region. The British set up Resident. The fear of having a British Resident in Kathmandu ultimately proved to be unfounded, as the rulers of Nepal managed to isolate the Resident to such an extent as to be in virtual house arrest.;;;;;;;;;;;;;;;;;;;;;;x;;;;
387489OP1;Disastrous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
387490OP1;Great!;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491_TITLE;The loss of our western provinces;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491__DESC;The Portuguese have succesfully seized Uraguay, and we are forced to accept this;;;;;;;;;;;;;;;;;;;;;;x;;;;
387491OP1;There is nothing we can do;;;;;;;;;;;;;;;;;;;;;;x;;;;
387492_TITLE;Liga cedes Uraguay;;;;;;;;;;;;;;;;;;;;;;x;;;;
387492_DESC;After our swift victory, the Liga Federal have withdrawed from Uraguay, leaving it to us;;;;;;;;;;;;;;;;;;;;;;x;;;;
387492OP1;Great!;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009_TITLE;Unruly tribes near Benghazi;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009_DESC;The Libyan tribe of Al-Jawazi, following a dispute regarding tribute are uprising against our rule. What do we do?;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009OP1;Tell them to congregate here...;;;;;;;;;;;;;;;;;;;;;;x;;;;
795009OP2;Leave them be;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055_TITLE;Pindaris Raids;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055_DESC;After the second Anglo-Maratha war, Shinde and Holkar had lost many of their territories to the British. They encouraged the Pindaris to raid the British territories.[39] The Pindaris, who were mostly cavalry, came to be known as the Shindeshahi and the Holkarshahi after the patronage they received from the respective defeated Maratha leaders. The Pindari leaders were Setu, Karim Khan, Dost Mohammad, Tulsi, Imam Baksh, Sahib Khan, Kadir Baksh, Nathu, and Bapu. Of these, Setu, Karim Khan, and Dost Mohammad belonged to Shindeshahi and the rest to Holkarshahi.[40] The total strength of the Pindaris in 1814 was estimated at 33,000. The Pindaris frequently raided villages in Central India. The result of the Pindari raids was that Central India was being rapidly reduced to the condition of a desert because the peasants were unable to support themselves on the land. They had no option but to join the robber bands or starve;;;;;;;;;;;;;;;;;;;;;;x;;;;
37055OP1;Outrageous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056_TITLE;Gangadhar Shastri Murdered;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056_DESC;The British had an arrangement with the Gaekwad dynasty of the Maratha province of Baroda to prevent the Peshwa from collecting revenue in that province. Gaekwad sent an envoy to the Peshwa in Pune to negotiate a dispute regarding revenue collection. The envoy, Gangadhar Shastri, was under British protection. He was murdered, and the Peshwa's minister Trimbak Dengle was suspected of the crime;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056OP1;They will pay in blood;;;;;;;;;;;;;;;;;;;;;;x;;;;
37056OP2;Not really worth starting a war over...;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057_TITLE;The Maratha call us to war!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057_DESC;The Maratha have called us to war;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057OP1;Of course we will join;;;;;;;;;;;;;;;;;;;;;;x;;;;
37057OP2;We refuse;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_TITLE;The Maratha collapse;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_DESC;The recent war with the British, the third war, has lead to the Maratha to finally collapse, its lands now under the controll of the British influence;;;;;;;;;;;;;;;;;;;;;;x;;;;
37058_OP1;Marvellous!;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059_TITLE;The Gwalior Betrayal;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059_DESC;The traitorous Gwalior has betrayed us in our war effort;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059OP1;There is nothing we can do;;;;;;;;;;;;;;;;;;;;;;x;;;;
37059OP2;Then we will crush them too;;;;;;;;;;;;;;;;;;;;;;x;;;;
37060OP1;Disaster!;;;;;;;;;;;;;;;;;;;;;;x;;;;
